Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Davion Mitchell,SAC,23,75,27.7,11.5,4.7,11.2,41.8,1.3,4.3,31.6,0.7,1.1,65.9,0.4,1.8,2.2,4.2,1.5,0.7,0.3,1.9,-3.7
Patty Mills,BKN,33,81,29.0,11.4,4.0,9.8,40.8,2.8,7.0,40.0,0.6,0.7,81.4,0.2,1.7,1.9,2.3,0.9,0.6,0.2,1.4,1.4
Doug McDermott,SAS,30,51,24.0,11.3,4.2,9.1,46.2,2.1,5.0,42.2,0.8,1.0,78.4,0.4,1.9,2.3,1.3,0.8,0.3,0.1,1.5,-0.7
Rui Hachimura,WAS,24,42,22.5,11.3,4.5,9.1,49.1,1.3,2.9,44.7,1.1,1.6,69.7,0.6,3.2,3.8,1.1,0.8,0.5,0.2,1.3,-3.0
Immanuel Quickley,NYK,23,78,23.1,11.3,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,0.4,2.8,3.2,3.5,1.3,0.7,0.0,2.1,3.4
Joe Harris,BKN,30,14,30.2,11.3,4.0,8.9,45.2,2.9,6.3,46.6,0.4,0.4,83.3,0.4,3.6,4.0,1.0,1.1,0.5,0.1,2.2,1.1
Marvin Bagley III,DET,23,48,23.9,11.3,4.7,9.3,50.4,0.5,2.0,23.7,1.4,2.1,66.3,2.2,4.9,7.0,0.8,0.8,0.5,0.4,1.9,-2.8
Gary Harris,ORL,27,61,28.4,11.1,3.9,9.1,43.4,1.9,5.0,38.4,1.4,1.6,87.4,0.6,1.4,2.0,1.8,1.0,1.0,0.1,1.8,-3.4
Grayson Allen,MIL,26,66,27.3,11.1,3.9,8.6,44.8,2.4,5.9,40.9,1.0,1.1,86.5,0.5,2.9,3.4,1.5,0.7,0.7,0.3,1.5,3.5
Clint Capela,ATL,28,74,27.6,11.1,5.0,8.2,61.3,0.0,0.0,0.0,1.1,2.3,47.3,3.8,8.1,11.9,1.2,0.6,0.7,1.3,2.2,1.7
Dorian Finney-Smith,DAL,29,80,33.0,11.0,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1.0,67.5,1.5,3.2,4.7,1.9,1.0,1.1,0.5,2.3,3.0
Zavier Simpson,OKC,25,4,43.5,11.0,4.8,13.0,36.5,0.3,2.0,12.5,1.3,1.3,100,0.5,4.8,5.3,7.5,2.5,1.3,1.0,3.8,-23.8
Hamidou Diallo,DET,23,58,21.9,11.0,4.5,9.1,49.6,0.4,1.6,24.7,1.6,2.4,65.0,1.2,3.6,4.8,1.3,1.0,1.2,0.3,2.5,-3.6
Duncan Robinson,MIA,28,79,25.9,10.9,3.7,9.2,39.9,2.9,7.9,37.2,0.6,0.8,83.6,0.3,2.3,2.6,1.6,0.8,0.5,0.2,2.5,1.3
De'Anthony Melton,MEM,24,73,22.7,10.8,3.8,9.5,40.4,1.9,5.1,37.4,1.2,1.6,75.0,0.9,3.6,4.5,2.7,1.5,1.4,0.5,1.8,3.0
Markelle Fultz,ORL,24,18,20.0,10.8,4.6,9.7,47.4,0.2,0.9,23.5,1.4,1.7,80.6,0.2,2.5,2.7,5.5,2.2,1.1,0.3,1.2,-2.1
Darius Bazley,OKC,22,69,27.9,10.8,4.0,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,1.0,5.3,6.3,1.4,1.3,0.8,1.0,1.0,-6.8
Cameron Payne,PHX,27,58,22.0,10.8,4.1,10.1,40.9,1.2,3.6,33.6,1.3,1.5,84.3,0.4,2.6,3.0,4.9,1.8,0.7,0.3,2.1,2.6
Terance Mann,LAC,25,81,28.6,10.8,4.1,8.5,48.4,0.9,2.6,36.5,1.6,2.0,78.0,1.3,4.0,5.2,2.6,1.0,0.7,0.3,2.2,0.8
Cedi Osman,CLE,27,66,22.1,10.7,3.7,8.7,43.2,1.9,5.4,35.7,1.3,2.0,66.4,0.4,1.8,2.2,2.0,1.0,0.8,0.2,1.9,-0.9
Melvin Frazier Jr.,OKC,25,3,39.9,10.7,4.3,16.0,27.1,0.3,7.0,4.8,1.7,2.3,71.4,1.7,2.7,4.3,0.3,1.0,0.3,0.0,2.7,-30.7
Mo Bamba,ORL,24,71,25.7,10.6,4.2,8.7,48.0,1.5,4.0,38.1,0.8,1.0,78.1,2.1,6.0,8.1,1.2,1.1,0.5,1.7,2.6,-5.3
Nickeil Alexander-Walker,UTA,23,65,22.6,10.6,3.9,10.5,37.2,1.6,5.2,31.1,1.2,1.7,74.3,0.6,2.3,2.9,2.4,1.4,0.7,0.4,1.6,-1.7
Max Strus,MIA,26,68,23.3,10.6,3.7,8.3,44.1,2.7,6.5,41.0,0.6,0.8,79.2,0.4,2.6,3.0,1.4,0.8,0.4,0.2,1.7,2.5
Frank Jackson,DET,24,53,22.0,10.6,3.7,9.1,40.2,1.6,5.3,30.8,1.6,2.0,82.7,0.4,1.3,1.6,1.0,0.7,0.5,0.2,1.7,-3.5
Frank Kaminsky,PHX,29,9,20.1,10.6,4.0,7.3,54.5,0.6,1.7,33.3,2.0,2.2,90.0,1.2,3.3,4.6,1.4,0.6,0.9,0.8,1.6,4.3
Trey Lyles,SAC,26,75,20.5,10.5,3.5,7.5,46.6,0.9,2.8,32.1,2.6,3.2,80.2,1.2,3.9,5.1,1.2,1.0,0.4,0.4,1.6,-3.0
Tre Mann,OKC,21,60,22.8,10.4,3.9,9.8,39.3,1.6,4.5,36.0,1.1,1.4,79.3,0.4,2.4,2.9,1.5,1.2,0.8,0.2,1.7,-4.6
Brandon Clarke,MEM,25,64,19.5,10.4,4.5,7.0,64.4,0.1,0.3,22.7,1.3,2.0,65.4,2.1,3.2,5.3,1.3,0.5,0.6,1.1,1.9,2.8
Richaun Holmes,SAC,28,45,23.9,10.4,4.4,6.7,66.0,0.0,0.1,40.0,1.6,2.0,77.8,2.1,5.0,7.0,1.1,1.2,0.4,0.9,2.8,-3.0
Terence Davis,SAC,25,30,17.9,10.4,3.8,8.9,42.3,1.6,5.0,32.9,1.2,1.5,81.8,0.4,2.8,3.1,1.3,1.1,0.8,0.4,2.3,2.0
Ivica Zubac,LAC,25,76,24.4,10.3,4.1,6.5,62.6,0.0,0.0,0.0,2.2,3.0,72.7,2.9,5.6,8.5,1.6,1.5,0.5,1.0,2.7,-1.7
Jeff Green,DEN,35,75,24.7,10.3,3.7,7.1,52.4,0.7,2.2,31.5,2.2,2.6,83.3,0.5,2.5,3.1,1.3,0.9,0.4,0.4,2.0,0.8
P.J. Washington,CHA,23,65,27.2,10.3,3.8,8.2,47.0,1.7,4.6,36.5,0.9,1.2,71.6,1.3,3.9,5.2,2.3,1.3,0.9,0.9,2.3,2.2
Josh Richardson,SAS,28,65,24.6,10.2,3.6,8.2,43.8,1.6,3.8,41.5,1.5,1.7,88.9,0.6,2.2,2.8,1.8,1.0,0.9,0.4,1.8,2.1
Ben McLemore,POR,29,64,20.1,10.2,3.4,8.4,40.1,2.4,6.5,36.2,1.1,1.4,81.8,0.2,1.4,1.6,0.9,0.9,0.6,0.2,1.6,-5.5
Al Horford,BOS,36,69,29.1,10.2,3.9,8.2,46.7,1.3,3.8,33.6,1.2,1.4,84.2,1.6,6.1,7.7,3.4,0.9,0.7,1.3,1.9,5.6
Cam Reddish,NYK,22,49,20.7,10.1,3.4,8.3,40.4,1.3,3.8,35.9,2.1,2.3,90.2,0.5,1.6,2.1,1.0,1.2,1.0,0.3,1.2,-4.4
Justin Holiday,SAC,33,74,27.8,10.1,3.5,8.9,39.4,2.4,6.5,36.7,0.7,0.8,80.6,0.4,2.2,2.6,1.7,0.9,0.8,0.4,2.1,-2.8
Bones Hyland,DEN,21,69,19.0,10.1,3.3,8.3,40.3,1.9,5.2,36.6,1.6,1.8,85.6,0.2,2.5,2.7,2.8,1.2,0.6,0.3,2.2,0.6
Isaiah Roby,OKC,24,45,21.1,10.1,3.7,7.2,51.4,1.0,2.2,44.4,1.7,2.6,67.2,1.7,3.2,4.8,1.6,1.0,0.8,0.8,2.4,-4.1
Devin Cannady,ORL,26,5,28.9,10.0,3.0,8.8,34.1,3.0,7.4,40.5,1.0,1.4,71.4,0.2,1.0,1.2,2.0,1.0,1.0,0.6,1.8,-2.2
Garrison Mathews,HOU,25,65,26.3,10.0,2.8,7.1,39.9,2.1,5.9,36.0,2.2,2.8,79.4,0.5,2.4,2.9,1.0,0.6,0.9,0.4,2.6,-3.4
Terrence Ross,ORL,31,63,23.0,10.0,3.5,8.8,39.7,1.2,4.2,29.2,1.8,2.1,86.2,0.3,2.2,2.6,1.8,1.2,0.4,0.2,1.1,-5.5
Robert Williams III,BOS,24,61,29.6,10.0,4.4,6.0,73.6,0.0,0.0,0.0,1.1,1.5,72.2,3.9,5.7,9.6,2.0,1.0,0.9,2.2,2.2,6.1
Talen Horton-Tucker,LAL,21,60,25.2,10.0,3.7,9.0,41.6,0.8,3.0,26.9,1.7,2.1,80.0,0.6,2.6,3.2,2.7,1.4,1.0,0.5,2.5,-1.5
Pat Connaughton,MIL,29,65,26.0,9.9,3.5,7.6,45.8,2.2,5.7,39.5,0.7,0.8,83.3,0.7,3.5,4.2,1.3,0.5,0.9,0.2,1.3,-0.4
Eric Bledsoe,POR,32,54,25.2,9.9,3.6,8.7,42.1,0.9,3.0,31.3,1.6,2.2,76.1,0.5,2.9,3.4,4.2,2.1,1.3,0.4,1.6,-0.7
Michael Porter Jr.,DEN,24,9,29.4,9.9,4.1,11.4,35.9,1.1,5.3,20.8,0.6,1.0,55.6,1.0,5.6,6.6,1.9,1.3,1.1,0.2,1.8,6.4
Duane Washington Jr.,IND,22,48,20.2,9.9,3.6,8.9,40.5,1.7,4.5,37.7,1.0,1.3,75.4,0.1,1.6,1.7,1.8,1.2,0.5,0.1,1.4,-2.6
Nassir Little,POR,22,42,25.9,9.8,3.5,7.5,46.0,1.2,3.7,33.1,1.6,2.2,73.4,1.4,4.2,5.6,1.3,1.0,0.6,0.9,2.0,-0.5
Terry Taylor,IND,22,33,21.6,9.6,4.1,6.7,61.4,0.4,1.2,31.6,1.1,1.5,70.6,2.9,2.3,5.2,1.2,0.7,0.4,0.2,1.8,-3.5
Alperen Sengun,HOU,19,72,20.7,9.6,3.5,7.3,47.4,0.4,1.6,24.8,2.3,3.2,71.1,1.9,3.5,5.5,2.6,2.0,0.8,0.9,3.0,-4.3
Herbert Jones,NOP,23,78,29.9,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84.0,1.3,2.5,3.8,2.1,1.3,1.7,0.8,3.1,0.9
Jae Crowder,PHX,31,67,28.1,9.4,3.2,8.1,39.9,1.9,5.4,34.8,1.1,1.3,78.9,0.4,4.8,5.3,1.9,0.8,1.4,0.4,2.6,5.9
Chris Boucher,TOR,29,80,21.1,9.4,3.4,7.2,46.4,0.9,2.9,29.7,1.9,2.4,77.7,2.2,3.9,6.2,0.3,0.5,0.6,0.9,2.2,2.4
Daniel Gafford,WAS,23,72,20.1,9.4,4.0,5.7,69.3,0.0,0.0,0.0,1.5,2.1,69.9,2.2,3.5,5.7,0.9,0.9,0.4,1.4,2.4,-2.9
Jaxson Hayes,NOP,22,70,20.0,9.3,3.5,5.7,61.6,0.3,0.8,35.1,2.1,2.7,76.6,1.6,2.9,4.5,0.6,0.8,0.5,0.8,2.2,0.3
Jonathan Kuminga,GSW,19,70,16.9,9.3,3.4,6.6,51.3,0.7,2.1,33.6,1.9,2.7,68.4,0.8,2.6,3.3,0.9,1.1,0.4,0.3,2.1,0.5
Jaden McDaniels,MIN,21,70,25.8,9.2,3.6,7.9,46.0,1.1,3.6,31.7,0.8,1.0,80.3,1.1,3.1,4.2,1.1,1.1,0.7,0.8,3.2,0.0
Jalen Smith,IND,22,51,18.1,9.2,3.5,6.9,50.3,0.8,2.4,32.8,1.5,2.0,76.5,2.0,4.0,6.0,0.5,0.8,0.3,0.8,1.9,0.6
Georges Niang,PHI,29,76,22.8,9.2,3.2,7.4,43.7,2.1,5.1,40.3,0.7,0.8,88.1,0.3,2.3,2.7,1.3,0.8,0.4,0.2,2.5,0.9
Reggie Perry,POR,22,10,18.7,9.2,4.0,7.9,50.6,0.3,1.6,18.8,0.9,1.5,60.0,1.5,3.2,4.7,1.2,1.1,0.9,0.6,3.3,-7.8
Patrick Beverley,MIN,33,58,25.4,9.2,3.1,7.5,40.6,1.4,4.2,34.3,1.7,2.3,72.2,1.1,3.1,4.1,4.6,1.3,1.2,0.9,3.0,1.9
JaVale McGee,PHX,34,74,15.8,9.2,3.9,6.2,62.9,0.0,0.1,22.2,1.4,2.0,69.9,2.2,4.5,6.7,0.6,1.3,0.3,1.1,2.4,1.6
Caleb Martin,MIA,26,60,22.9,9.2,3.5,6.8,50.7,1.1,2.6,41.3,1.2,1.6,76.3,1.2,2.7,3.8,1.1,0.9,1.0,0.5,1.7,2.6
Oshae Brissett,IND,24,67,23.3,9.1,3.1,7.6,41.1,1.2,3.5,35.0,1.7,2.4,69.5,1.6,3.7,5.3,1.1,0.8,0.7,0.4,1.7,-3.3
Kelly Olynyk,DET,31,40,19.1,9.1,3.2,7.2,44.8,1.0,3.0,33.6,1.7,2.2,77.5,1.4,3.1,4.4,2.8,1.5,0.8,0.5,2.5,-1.8
Precious Achiuwa,TOR,22,73,23.6,9.1,3.6,8.3,43.9,0.8,2.1,35.9,1.1,1.8,59.5,2.0,4.5,6.5,1.1,1.2,0.5,0.6,2.1,1.0
Willy Hernangomez,NOP,28,50,16.8,9.1,3.4,6.5,52.0,0.1,0.2,33.3,2.2,2.8,77.3,2.9,3.9,6.8,1.3,1.0,0.4,0.4,1.9,-0.9
Donte DiVincenzo,SAC,25,42,23.9,9.0,2.8,8.0,35.1,1.8,5.2,33.9,1.7,2.0,84.3,1.0,3.1,4.0,2.8,1.7,1.1,0.2,1.6,-1.8
Obi Toppin,NYK,24,72,17.1,9.0,3.5,6.6,53.1,0.7,2.3,30.8,1.3,1.7,75.8,1.0,2.8,3.7,1.1,0.8,0.3,0.5,1.4,2.3
Patrick Williams,CHI,20,17,24.8,9.0,3.2,6.0,52.9,0.9,1.7,51.7,1.8,2.4,73.2,1.0,3.1,4.1,0.9,0.9,0.5,0.5,1.6,-3.3
Bruce Brown,BKN,25,72,24.6,9.0,3.6,7.0,50.6,0.5,1.3,40.4,1.3,1.8,75.8,1.4,3.4,4.8,2.1,0.8,1.1,0.7,2.4,-0.6
Amir Coffey,LAC,25,69,22.7,9.0,3.1,6.8,45.3,1.4,3.7,37.8,1.5,1.7,86.3,0.4,2.5,2.9,1.8,0.7,0.6,0.2,1.3,-0.7
DeMarcus Cousins,DEN,31,48,14.9,9.0,3.1,6.8,46.0,0.8,2.5,30.3,2.0,2.6,76.0,1.5,4.1,5.6,1.5,1.8,0.7,0.4,2.9,0.8
Moritz Wagner,ORL,25,63,15.2,9.0,3.1,6.3,49.7,1.0,3.2,32.8,1.7,2.0,80.6,0.7,3.0,3.7,1.4,0.9,0.3,0.2,2.0,-2.4
Chimezie Metu,SAC,25,60,21.3,8.9,3.4,7.5,45.2,1.0,3.1,30.6,1.2,1.5,78.0,0.6,5.0,5.6,1.0,1.0,0.9,0.5,1.6,-2.6
Bryn Forbes,DEN,28,75,17.1,8.8,3.1,7.2,42.9,1.6,3.9,41.4,1.1,1.2,90.8,0.1,1.1,1.2,1.0,0.7,0.3,0.1,1.3,0.3
Ayo Dosunmu,CHI,22,77,27.4,8.8,3.6,6.9,52.0,0.9,2.4,37.6,0.7,1.0,67.9,0.4,2.4,2.8,3.3,1.4,0.8,0.4,2.4,-2.6
Kenyon Martin Jr.,HOU,21,79,21.0,8.8,3.5,6.6,53.3,0.8,2.1,35.7,1.0,1.6,63.4,1.0,2.7,3.8,1.3,0.8,0.4,0.5,1.4,-3.0
Isaac Okoro,CLE,21,67,29.6,8.8,3.1,6.4,48.0,0.8,2.3,35.0,1.8,2.3,76.8,1.1,1.9,3.0,1.8,0.9,0.8,0.3,2.4,1.5
Dwight Powell,DAL,30,82,21.9,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2.0,2.6,78.3,2.1,2.8,4.9,1.2,0.8,0.5,0.5,2.7,0.9
Nic Claxton,BKN,23,47,20.7,8.7,3.8,5.6,67.4,0.0,0.0,0.0,1.1,2.0,58.1,1.9,3.7,5.6,0.9,0.8,0.5,1.1,2.3,-0.6
Gabe Vincent,MIA,26,68,23.4,8.7,3.1,7.5,41.7,1.8,4.8,36.8,0.6,0.8,81.5,0.3,1.5,1.9,3.1,1.4,0.9,0.2,2.3,1.5
Tyus Jones,MEM,26,73,21.2,8.7,3.4,7.6,45.1,1.1,2.8,39.0,0.7,0.9,81.8,0.2,2.2,2.4,4.4,0.6,0.9,0.0,0.4,3.5
Chuma Okeke,ORL,23,70,25.0,8.6,3.1,8.2,37.6,1.7,5.3,31.8,0.8,0.9,84.6,0.7,4.3,5.0,1.7,0.8,1.4,0.6,1.4,-4.5
Reggie Bullock,DAL,31,68,28.0,8.6,3.0,7.4,40.1,2.1,5.8,36.0,0.6,0.7,83.3,0.5,3.1,3.5,1.2,0.6,0.6,0.2,1.6,4.0
Cam Thomas,BKN,20,67,17.6,8.5,3.3,7.5,43.3,0.7,2.6,27.0,1.3,1.6,82.9,0.2,2.2,2.4,1.2,0.8,0.5,0.1,1.0,-2.1
Robert Covington,LAC,31,71,27.3,8.5,2.9,7.0,42.0,1.8,4.8,37.8,0.8,1.0,84.1,0.8,4.7,5.5,1.3,1.1,1.5,1.3,2.7,0.5
Jaylen Nowell,MIN,22,62,15.7,8.5,3.2,6.7,47.5,1.0,2.6,39.4,1.2,1.5,78.3,0.4,1.6,2.0,2.1,0.6,0.4,0.2,1.2,1.1
T.J. McConnell,IND,30,27,24.2,8.5,3.7,7.7,48.1,0.4,1.2,30.3,0.7,0.9,82.6,0.7,2.6,3.3,4.9,1.1,1.1,0.4,2.0,-2.7
Mitchell Robinson,NYK,24,72,25.7,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,4.1,4.5,8.6,0.5,0.8,0.8,1.8,2.7,-1.1
Isaiah Thomas,CHA,33,22,15.2,8.4,3.0,7.6,40.1,1.3,3.8,33.7,1.0,1.2,84.6,0.2,1.1,1.3,1.5,0.7,0.3,0.2,1.5,-0.5
Deni Avdija,WAS,21,82,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,1.1,0.7,0.5,2.3,-0.8
Lance Stephenson,IND,31,46,17.7,8.3,3.2,7.0,45.5,0.6,2.0,30.0,1.4,1.7,78.8,0.3,2.5,2.8,3.6,1.6,0.5,0.1,2.1,-2.5
Nicolas Batum,LAC,33,59,24.8,8.3,3.0,6.6,46.3,1.8,4.6,40.0,0.4,0.6,65.8,0.5,3.8,4.3,1.7,0.7,1.0,0.7,1.4,-2.2
Aaron Wiggins,OKC,23,50,24.2,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,1.0,2.5,3.6,1.4,1.1,0.6,0.2,1.9,-4.7
Landry Shamet,PHX,25,69,20.8,8.3,2.8,7.0,39.4,1.8,4.8,36.8,1.0,1.2,84.0,0.2,1.6,1.8,1.6,0.6,0.4,0.1,1.3,2.0
Isaiah Stewart,DET,21,71,25.6,8.3,3.5,6.9,51.0,0.2,0.6,32.6,1.0,1.5,71.8,3.2,5.5,8.7,1.2,1.2,0.3,1.1,3.0,-5.2
Isaiah Hartenstein,LAC,24,68,17.9,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,1.7,3.2,4.9,2.4,1.2,0.7,1.1,2.5,2.5
Naz Reid,MIN,22,77,15.8,8.3,3.0,6.2,48.9,0.7,2.2,34.3,1.5,1.9,76.5,1.3,2.6,3.9,0.9,1.1,0.5,0.9,2.2,-1.2
Isaiah Jackson,IND,20,36,15.0,8.3,3.2,5.7,56.3,0.1,0.4,31.3,1.7,2.4,68.2,1.7,2.5,4.1,0.3,1.1,0.7,1.4,2.6,-1.1
Corey Kispert,WAS,23,77,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.6,0.5,0.3,1.2,0.5
Hassan Whiteside,UTA,33,65,17.9,8.2,3.3,5.1,65.2,0.0,0.0,0.0,1.6,2.6,62.3,2.6,5.0,7.6,0.4,0.8,0.3,1.6,2.8,3.5
Shake Milton,PHI,25,55,21.4,8.2,3.1,7.3,42.9,0.8,2.4,32.3,1.1,1.3,83.6,0.5,2.0,2.6,2.5,0.8,0.5,0.3,1.8,-0.5
Otto Porter Jr.,GSW,29,63,22.2,8.2,3.1,6.6,46.4,1.3,3.4,37.0,0.8,1.0,80.3,1.4,4.4,5.7,1.5,0.6,1.1,0.5,1.3,3.7
Daniel Theis,BOS,30,47,20.8,8.2,3.2,6.2,51.9,0.7,2.3,30.8,1.0,1.5,68.1,1.3,3.6,4.9,0.9,1.0,0.4,0.7,2.4,-1.9
Onyeka Okongwu,ATL,21,48,20.7,8.2,3.3,4.7,69.0,0.0,0.0,0.0,1.7,2.3,72.7,2.4,3.5,5.9,1.1,0.9,0.6,1.3,3.1,2.3
Rudy Gay,UTA,35,55,18.9,8.1,2.9,6.9,41.4,1.3,3.7,34.5,1.1,1.4,78.5,1.0,3.4,4.4,1.0,0.9,0.5,0.3,1.7,3.3
Damian Jones,SAC,27,56,18.2,8.1,3.1,4.8,65.8,0.2,0.5,34.5,1.7,2.3,71.8,1.3,3.1,4.4,1.2,1.1,0.5,0.8,2.3,-3.1
Ziaire Williams,MEM,20,62,21.7,8.1,3.1,6.8,45.0,1.2,3.9,31.4,0.7,0.9,78.2,0.4,1.7,2.1,1.0,0.7,0.6,0.2,1.8,2.0
Cory Joseph,DET,30,65,24.6,8.0,2.7,6.2,44.5,1.0,2.4,41.4,1.5,1.7,88.5,0.4,2.2,2.7,3.6,1.3,0.6,0.3,2.3,-3.1
Malik Newman,CLE,25,1,7.7,8.0,3.0,5.0,60.0,0.0,1.0,0.0,2.0,2.0,100,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Mike Muscala,OKC,30,43,13.8,8.0,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,0.5,2.5,3.0,0.5,0.3,0.4,0.6,1.3,0.5
Lindy Waters III,OKC,24,25,18.6,8.0,2.8,7.0,40.6,2.1,5.8,36.3,0.2,0.2,80.0,0.2,2.7,2.9,1.0,0.4,0.8,0.3,1.2,-1.6
Andre Drummond,BKN,28,73,19.7,7.9,3.4,5.9,57.0,0.0,0.0,0.0,1.2,2.2,52.4,3.1,6.2,9.3,1.8,1.6,1.1,0.9,2.6,0.5
Josh Christopher,HOU,20,74,18.0,7.9,3.0,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,0.7,1.8,2.5,2.0,1.5,0.9,0.2,1.3,-3.7
Jordan Nwora,MIL,23,62,19.1,7.9,3.0,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,0.6,3.0,3.6,1.0,0.9,0.4,0.3,1.3,-1.2
Grant Williams,BOS,23,77,24.4,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,0.8,2.7,3.6,1.0,0.8,0.5,0.7,2.4,1.9
Zach Collins,SAS,24,28,17.9,7.8,2.7,5.5,49.0,0.5,1.5,34.1,1.9,2.3,80.0,1.6,3.8,5.5,2.2,1.6,0.5,0.8,2.4,1.4
Drew Eubanks,POR,25,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,1.8,3.5,5.4,1.2,1.1,0.4,0.6,1.7,-4.6
Cody Martin,CHA,26,71,26.3,7.7,2.9,6.0,48.2,0.9,2.2,38.4,1.1,1.5,70.1,1.2,2.9,4.0,2.5,0.9,1.2,0.5,1.6,-0.4
R.J. Hampton,ORL,21,64,21.9,7.6,2.7,7.1,38.3,1.0,2.9,35.0,1.2,1.8,64.1,0.4,2.7,3.0,2.5,1.4,0.7,0.2,1.6,-6.5
Aleksej Pokusevski,OKC,20,61,20.2,7.6,3.0,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70.0,1.2,4.0,5.2,2.1,1.5,0.6,0.6,1.4,-0.7
Furkan Korkmaz,PHI,24,67,21.1,7.6,2.7,7.0,38.7,1.1,4.0,28.9,1.0,1.3,81.0,0.3,2.3,2.6,1.9,0.7,0.5,0.1,0.9,0.5
P.J. Tucker,MIA,37,71,27.9,7.6,2.9,6.0,48.4,1.1,2.7,41.5,0.6,0.9,73.8,1.4,4.0,5.5,2.1,0.9,0.8,0.2,2.3,3.2
Markieff Morris,MIA,32,17,17.5,7.6,3.2,6.7,47.4,0.8,2.3,33.3,0.5,0.5,88.9,1.0,1.6,2.6,1.4,1.2,0.4,0.1,1.9,1.1
Trendon Watford,POR,21,48,18.1,7.6,3.0,5.6,53.2,0.2,0.8,23.7,1.5,2.0,75.5,1.2,3.0,4.1,1.7,0.9,0.5,0.6,2.4,-7.3
Kris Dunn,POR,28,14,24.0,7.6,3.1,7.3,43.1,0.1,0.8,9.1,1.2,1.3,94.4,0.6,2.9,3.5,5.6,2.3,1.6,0.2,2.7,-6.6
Kyle Anderson,MEM,28,69,21.5,7.6,3.0,6.8,44.6,0.5,1.6,33.0,1.0,1.5,63.8,1.0,4.3,5.3,2.7,1.0,1.1,0.7,1.6,0.9
Draymond Green,GSW,32,46,28.9,7.5,2.9,5.6,52.5,0.3,1.2,29.6,1.3,2.0,65.9,1.0,6.3,7.3,7.0,3.0,1.3,1.1,3.0,4.2
Raul Neto,WAS,30,70,19.6,7.5,2.9,6.3,46.3,0.5,1.7,29.2,1.2,1.5,76.9,0.2,1.7,1.9,3.1,1.1,0.8,0.0,1.5,-1.2
D.J. Wilson,TOR,26,4,13.5,7.5,2.8,3.8,73.3,0.0,0.5,0.0,2.0,2.5,80.0,0.3,3.8,4.0,1.3,0.5,1.3,0.3,1.5,-4.0
Goran Dragic,BKN,36,21,23.7,7.5,2.7,7.2,37.7,0.8,3.0,25.4,1.3,1.6,81.8,0.6,2.5,3.1,4.1,1.6,0.9,0.2,2.1,0.3
Jeremiah Robinson-Earl,OKC,21,49,22.2,7.5,2.7,6.6,41.4,1.2,3.4,35.2,0.8,1.1,74.1,1.5,4.1,5.6,1.0,0.8,0.6,0.3,1.5,-4.9
Thomas Bryant,WAS,24,27,16.3,7.4,2.9,5.5,52.0,0.4,1.6,28.6,1.3,1.5,87.5,1.0,3.0,4.0,0.9,0.7,0.2,0.8,1.6,-2.8
Alex Caruso,CHI,28,41,28.0,7.4,2.5,6.2,39.8,1.0,3.1,33.3,1.4,1.8,79.5,0.8,2.8,3.6,4.0,1.4,1.7,0.4,2.6,2.7
Damion Lee,GSW,29,63,19.9,7.4,2.7,6.1,44.1,1.0,3.0,33.7,1.0,1.2,88.0,0.4,2.8,3.2,1.0,0.6,0.6,0.1,1.5,1.5
Kenrich Williams,OKC,27,49,21.9,7.4,3.0,6.5,46.1,0.8,2.5,33.9,0.6,1.1,54.5,1.5,3.0,4.5,2.2,0.9,0.9,0.2,1.7,0.5
Royce O'Neale,UTA,29,77,31.2,7.4,2.6,5.8,45.7,1.5,4.0,38.9,0.6,0.7,80.4,0.8,3.9,4.8,2.5,1.0,1.1,0.4,2.4,3.0
Jared Harper,NOP,24,5,8.6,7.4,2.8,5.2,53.8,1.0,2.4,41.7,0.8,0.8,100,0.4,0.0,0.4,2.8,0.4,0.8,0.2,1.0,1.4
Wes Iwundu,ATL,27,3,27.4,7.3,2.7,6.0,44.4,1.0,1.7,60.0,1.0,1.3,75.0,1.0,3.3,4.3,0.0,0.3,0.3,0.0,2.7,0.0
