Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
DeAndre Jordan,LAC,25,C,82,82,63.4,5.4,10.6,50.9,55.0,-4.0,35.0,1.3
Robin Lopez,POR,26,C,82,82,64.0,4.7,10.3,45.7,54.8,-9.2,31.8,1.2
Marcin Gortat,WAS,30,C,80,80,65.5,5.1,10.0,50.6,54.7,-4.2,32.8,1.1
Spencer Hawes,CLE,26,C,80,80,60.9,5.1,9.8,51.9,55.1,-3.2,30.9,1.0
Serge Ibaka,OKC,24,F-C,81,81,62.0,4.6,9.7,47.5,54.9,-7.4,32.9,2.3
Pau Gasol,LAL,33,C-F,60,60,64.8,5.4,9.5,56.5,55.5,1.0,31.4,1.1
Kevin Love,MIN,25,F-C,77,77,62.5,5.5,9.5,58.3,55.1,3.2,36.3,0.3
Al Jefferson,CHA,29,C,72,72,67.5,4.8,9.3,51.4,54.6,-3.2,35.0,0.7
Brook Lopez,BKN,26,C,17,17,60.4,3.6,9.2,39.5,53.6,-14.1,31.4,1.1
Roy Hibbert,IND,27,C,81,81,64.2,3.6,9.0,40.5,54.7,-14.2,29.7,1.5
Tim Duncan,SAS,38,F,74,74,68.4,4.3,9.0,48.3,55.4,-7.1,29.2,1.4
Jonas Valanciunas,TOR,22,C,80,80,69.5,4.2,8.4,49.6,54.9,-5.3,28.2,0.6
Paul Millsap,ATL,29,F,73,73,54.9,4.5,8.2,54.6,55.0,-0.4,33.5,0.9
Andre Drummond,DET,20,C,81,81,62.4,4.3,8.2,52.6,54.2,-1.6,32.3,1.1
Miles Plumlee,PHX,25,C-F,80,80,73.1,4.1,8.2,49.5,55.2,-5.7,24.6,0.8
Derrick Favors,UTA,22,C-F,73,73,61.8,4.2,8.2,51.3,54.9,-3.6,30.2,1.1
Joakim Noah,CHI,29,C,80,80,52.0,3.7,8.1,46.0,54.8,-8.8,35.2,0.9
Dwight Howard,HOU,28,C-F,71,71,61.9,3.9,7.9,49.6,55.4,-5.8,33.8,0.9
LaMarcus Aldridge,POR,28,F,69,69,51.7,4.0,7.8,51.0,55.2,-4.1,36.2,0.8
DeMarcus Cousins,SAC,23,C,70,69,60.0,3.9,7.7,50.9,55.4,-4.5,32.4,0.6
Chris Bosh,MIA,30,C-F,79,79,57.1,4.0,7.6,52.7,54.3,-1.6,32.0,0.7
Ryan Anderson,NOP,26,F,22,22,59.1,4.4,7.5,58.4,54.6,3.8,36.1,0.2
Nikola Vucevic,ORL,23,C,57,57,59.1,4.0,7.5,54.0,55.1,-1.2,31.8,0.4
Jared Sullinger,BOS,22,C-F,74,73,61.5,4.0,7.3,54.2,54.0,0.3,27.6,0.6
Al Horford,ATL,28,C-F,29,29,57.6,3.3,7.3,45.3,54.9,-9.7,33.0,1.2
Anthony Davis,NOP,21,F-C,66,66,52.1,3.7,7.3,51.0,55.1,-4.1,35.2,1.7
Greg Monroe,DET,24,F-C,82,80,56.9,3.9,7.2,54.2,54.2,-0.1,32.8,0.4
Nikola Pekovic,MIN,28,C,54,54,57.4,3.9,7.2,54.3,55.3,-1.0,30.8,0.3
Tyson Chandler,NYK,31,C,54,54,55.1,3.8,7.2,53.4,54.6,-1.2,30.2,0.7
Andrew Bogut,GSW,29,C,66,66,62.8,3.5,7.2,48.5,55.1,-6.6,26.4,1.3
Amir Johnson,TOR,27,F,76,75,60.7,3.6,7.1,50.6,55.0,-4.4,28.8,0.8
Jason Smith,NOP,28,C-F,31,31,56.2,4.2,7.0,60.4,55.3,5.1,26.8,0.7
Terrence Jones,HOU,22,F,75,74,53.6,3.9,7.0,56.2,54.9,1.3,27.3,0.7
Marc Gasol,MEM,29,C,58,58,60.2,3.5,7.0,50.1,55.6,-5.5,33.4,0.9
Channing Frye,PHX,31,F-C,82,82,54.2,3.9,6.9,56.3,54.7,1.6,28.2,0.5
Josh Smith,DET,28,F,77,77,49.8,3.6,6.8,52.6,55.1,-2.5,35.5,0.9
Enes Freedom,UTA,22,C,80,80,61.1,3.7,6.8,54.0,55.1,-1.1,NaN,NaN
